# Expected column widths from Prettier's own getStringWidth, not from this repository.
#
# Generated by running prettier 3.9.6's src/utilities/get-string-width.js verbatim
# (sha256 37f49dbe5815f5b191c246499e38887b2869eae3c12b4df31c7b5c6bba6802cf) against
# emoji-regex 10.6.0, get-east-asian-width 1.6.0 and narrow-emojis 0.0.3 under Node.
# Because the file is an oracle dump, a line may only be changed by regenerating it
# against a Prettier release - never by writing down what this package currently returns.
#
# Coverage: the worked examples from the #185 width spec, every narrow-emojis code point
# bare and again with U+FE0F, and one representative sequence per emoji-test.txt subgroup
# per qualification status (Unicode emoji 17.0, 2025-08-04). The same generator run over
# every emoji-test.txt sequence, each also embedded in ASCII, doubled, and placed beside
# wide and combining neighbours, produced 20900 cases that all agree with displayWidth;
# that full sweep is development evidence and is deliberately not committed at 860 KiB.
#
# Code points are hex, space separated; an empty field is the empty string.
# width	code points (hex)	description
1	262F	narrow-list U+262F bare
2	262F FE0F	narrow-list U+262F + VS16
1	2638	narrow-list U+2638 bare
2	2638 FE0F	narrow-list U+2638 + VS16
1	2639	narrow-list U+2639 bare
2	2639 FE0F	narrow-list U+2639 + VS16
1	263A	narrow-list U+263A bare
2	263A FE0F	narrow-list U+263A + VS16
1	2640	narrow-list U+2640 bare
2	2640 FE0F	narrow-list U+2640 + VS16
1	2642	narrow-list U+2642 bare
2	2642 FE0F	narrow-list U+2642 + VS16
1	265F	narrow-list U+265F bare
2	265F FE0F	narrow-list U+265F + VS16
1	2660	narrow-list U+2660 bare
2	2660 FE0F	narrow-list U+2660 + VS16
1	2663	narrow-list U+2663 bare
2	2663 FE0F	narrow-list U+2663 + VS16
1	2665	narrow-list U+2665 bare
2	2665 FE0F	narrow-list U+2665 + VS16
1	2666	narrow-list U+2666 bare
2	2666 FE0F	narrow-list U+2666 + VS16
1	2668	narrow-list U+2668 bare
2	2668 FE0F	narrow-list U+2668 + VS16
1	267B	narrow-list U+267B bare
2	267B FE0F	narrow-list U+267B + VS16
1	267E	narrow-list U+267E bare
2	267E FE0F	narrow-list U+267E + VS16
1	2692	narrow-list U+2692 bare
2	2692 FE0F	narrow-list U+2692 + VS16
1	2694	narrow-list U+2694 bare
2	2694 FE0F	narrow-list U+2694 + VS16
1	2695	narrow-list U+2695 bare
2	2695 FE0F	narrow-list U+2695 + VS16
1	2696	narrow-list U+2696 bare
2	2696 FE0F	narrow-list U+2696 + VS16
1	2697	narrow-list U+2697 bare
2	2697 FE0F	narrow-list U+2697 + VS16
1	2699	narrow-list U+2699 bare
2	2699 FE0F	narrow-list U+2699 + VS16
1	269B	narrow-list U+269B bare
2	269B FE0F	narrow-list U+269B + VS16
1	269C	narrow-list U+269C bare
2	269C FE0F	narrow-list U+269C + VS16
1	26A7	narrow-list U+26A7 bare
2	26A7 FE0F	narrow-list U+26A7 + VS16
1	26B0	narrow-list U+26B0 bare
2	26B0 FE0F	narrow-list U+26B0 + VS16
1	26B1	narrow-list U+26B1 bare
2	26B1 FE0F	narrow-list U+26B1 + VS16
1	26C8	narrow-list U+26C8 bare
2	26C8 FE0F	narrow-list U+26C8 + VS16
1	26CF	narrow-list U+26CF bare
2	26CF FE0F	narrow-list U+26CF + VS16
1	26D1	narrow-list U+26D1 bare
2	26D1 FE0F	narrow-list U+26D1 + VS16
1	26D3	narrow-list U+26D3 bare
2	26D3 FE0F	narrow-list U+26D3 + VS16
1	26E9	narrow-list U+26E9 bare
2	26E9 FE0F	narrow-list U+26E9 + VS16
1	26F0	narrow-list U+26F0 bare
2	26F0 FE0F	narrow-list U+26F0 + VS16
1	26F1	narrow-list U+26F1 bare
2	26F1 FE0F	narrow-list U+26F1 + VS16
1	26F4	narrow-list U+26F4 bare
2	26F4 FE0F	narrow-list U+26F4 + VS16
1	26F7	narrow-list U+26F7 bare
2	26F7 FE0F	narrow-list U+26F7 + VS16
1	26F8	narrow-list U+26F8 bare
2	26F8 FE0F	narrow-list U+26F8 + VS16
1	2702	narrow-list U+2702 bare
2	2702 FE0F	narrow-list U+2702 + VS16
1	2708	narrow-list U+2708 bare
2	2708 FE0F	narrow-list U+2708 + VS16
1	2709	narrow-list U+2709 bare
2	2709 FE0F	narrow-list U+2709 + VS16
1	270F	narrow-list U+270F bare
2	270F FE0F	narrow-list U+270F + VS16
1	2712	narrow-list U+2712 bare
2	2712 FE0F	narrow-list U+2712 + VS16
2	2714 FE0F	narrow-list U+2714 + VS16
1	2716	narrow-list U+2716 bare
2	2716 FE0F	narrow-list U+2716 + VS16
1	271D	narrow-list U+271D bare
2	271D FE0F	narrow-list U+271D + VS16
1	2721	narrow-list U+2721 bare
2	2721 FE0F	narrow-list U+2721 + VS16
1	2733	narrow-list U+2733 bare
2	2733 FE0F	narrow-list U+2733 + VS16
1	2734	narrow-list U+2734 bare
2	2734 FE0F	narrow-list U+2734 + VS16
1	2744	narrow-list U+2744 bare
2	2744 FE0F	narrow-list U+2744 + VS16
1	2747	narrow-list U+2747 bare
2	2747 FE0F	narrow-list U+2747 + VS16
1	2763	narrow-list U+2763 bare
2	2763 FE0F	narrow-list U+2763 + VS16
1	2764	narrow-list U+2764 bare
2	2764 FE0F	narrow-list U+2764 + VS16
1	27A1	narrow-list U+27A1 bare
2	27A1 FE0F	narrow-list U+27A1 + VS16
1	2934	narrow-list U+2934 bare
2	2934 FE0F	narrow-list U+2934 + VS16
1	2935	narrow-list U+2935 bare
2	2935 FE0F	narrow-list U+2935 + VS16
1	2B05	narrow-list U+2B05 bare
2	2B05 FE0F	narrow-list U+2B05 + VS16
1	2B06	narrow-list U+2B06 bare
2	2B06 FE0F	narrow-list U+2B06 + VS16
1	2B07	narrow-list U+2B07 bare
2	2B07 FE0F	narrow-list U+2B07 + VS16
1	1F170	narrow-list U+1F170 bare
2	1F170 FE0F	narrow-list U+1F170 + VS16
1	1F171	narrow-list U+1F171 bare
2	1F171 FE0F	narrow-list U+1F171 + VS16
1	1F17E	narrow-list U+1F17E bare
2	1F17E FE0F	narrow-list U+1F17E + VS16
1	1F17F	narrow-list U+1F17F bare
2	1F17F FE0F	narrow-list U+1F17F + VS16
1	1F321	narrow-list U+1F321 bare
2	1F321 FE0F	narrow-list U+1F321 + VS16
1	1F324	narrow-list U+1F324 bare
2	1F324 FE0F	narrow-list U+1F324 + VS16
1	1F325	narrow-list U+1F325 bare
2	1F325 FE0F	narrow-list U+1F325 + VS16
1	1F326	narrow-list U+1F326 bare
2	1F326 FE0F	narrow-list U+1F326 + VS16
1	1F327	narrow-list U+1F327 bare
2	1F327 FE0F	narrow-list U+1F327 + VS16
1	1F328	narrow-list U+1F328 bare
2	1F328 FE0F	narrow-list U+1F328 + VS16
1	1F329	narrow-list U+1F329 bare
2	1F329 FE0F	narrow-list U+1F329 + VS16
1	1F32A	narrow-list U+1F32A bare
2	1F32A FE0F	narrow-list U+1F32A + VS16
1	1F32B	narrow-list U+1F32B bare
2	1F32B FE0F	narrow-list U+1F32B + VS16
1	1F32C	narrow-list U+1F32C bare
2	1F32C FE0F	narrow-list U+1F32C + VS16
1	1F336	narrow-list U+1F336 bare
2	1F336 FE0F	narrow-list U+1F336 + VS16
1	1F37D	narrow-list U+1F37D bare
2	1F37D FE0F	narrow-list U+1F37D + VS16
1	1F396	narrow-list U+1F396 bare
2	1F396 FE0F	narrow-list U+1F396 + VS16
1	1F397	narrow-list U+1F397 bare
2	1F397 FE0F	narrow-list U+1F397 + VS16
1	1F399	narrow-list U+1F399 bare
2	1F399 FE0F	narrow-list U+1F399 + VS16
1	1F39A	narrow-list U+1F39A bare
2	1F39A FE0F	narrow-list U+1F39A + VS16
1	1F39B	narrow-list U+1F39B bare
2	1F39B FE0F	narrow-list U+1F39B + VS16
1	1F39E	narrow-list U+1F39E bare
2	1F39E FE0F	narrow-list U+1F39E + VS16
1	1F39F	narrow-list U+1F39F bare
2	1F39F FE0F	narrow-list U+1F39F + VS16
1	1F3CD	narrow-list U+1F3CD bare
2	1F3CD FE0F	narrow-list U+1F3CD + VS16
1	1F3CE	narrow-list U+1F3CE bare
2	1F3CE FE0F	narrow-list U+1F3CE + VS16
